Task ID,Sprint,대분류,중분류,작업 내용,담당자,시작일,종료일,산출물,진척도(%),상태,비고
,,휴무일: 3/28(토) 3/29(일) 4/4(토) 4/5(일) 4/11(토) 4/12(일) 4/18(토) 4/19(일),,,,,,,,
,,,,,,,,,,,
,,"Sprint 0: 설계 & 인프라 & 인증 (3/27금 ~ 4/3금) — 근무 6일",,,,,,,,
1,Sprint 0,🔵 플래닝,스프린트 플래닝,"Sprint 0 목표: 설계 완료 + 인프라 구축 + 인증 기능 완성",,2026-03-27,2026-03-27,플래닝 기록,0,진행 전,"Day 1"
2,Sprint 0,설계,기획/요구사항,"MVP 요구사항 명세서 확정 (최소 기능 범위)",,2026-03-27,2026-03-27,명세서,0,진행 전,"Day 1"
3,Sprint 0,설계,화면설계,"MVP 화면 설계서 / UI 레퍼런스 확정",,2026-03-27,2026-03-27,화면설계서,0,진행 전,"Day 1"
,,,,,,,,,,,"","휴무 3/28(토) 3/29(일)"
4,Sprint 0,설계,ERD,"DB ERD 설계 및 검증 (MVP Entity만)",,2026-03-30,2026-03-30,ERD 문서,0,진행 전,"Day 2 · MVP 테이블만 우선"
5,Sprint 0,설계,API 설계,"MVP API 엔드포인트 스펙 정의 (경로에 /api 미포함)",,2026-03-30,2026-03-30,API 명세서,0,진행 전,"Day 2"
6,Sprint 0,인프라,백엔드 초기화,"Spring Boot 프로젝트 생성 (Java 21 / Gradle / H2 / JPA / Lombok / JWT)",,2026-03-31,2026-03-31,프로젝트 구조,0,진행 전,"Day 3"
7,Sprint 0,인프라,프론트 초기화,"Next.js 프로젝트 생성 (App Router / TypeScript / Vanilla CSS Module)",,2026-03-31,2026-03-31,프로젝트 구조,0,진행 전,"Day 3 · Zustand · Material Icons"
8,Sprint 0,인프라,CORS · 설정 파일,"CORS 설정 (localhost:3000 허용) + application.properties dev·prod 분리",,2026-03-31,2026-03-31,설정 파일,0,진행 전,"Day 3"
9,Sprint 0,공통,JPA Entity + 이니셜라이저,"MVP Entity 매핑 + DataInitializer 초기 데이터 삽입",,2026-04-01,2026-04-01,Entity + 초기 데이터,0,진행 전,"Day 4 · H2 콘솔 검증"
10,Sprint 0,공통,공통 레이아웃 (FE),"layout.tsx / Header / Footer / 글로벌 CSS 변수 + Zustand + API 프록시",,2026-04-01,2026-04-01,UI 베이스 + 설정,0,진행 전,"Day 4"
11,Sprint 0,공통,이미지 업로드 API (BE),"파일 업로드 API — 저장 경로: 외부 볼륨 dist/upload",,2026-04-02,2026-04-02,Upload API,0,진행 전,"Day 5 · 정적→frontend/public"
12,Sprint 0,인증 기능,User API (BE),"회원가입 / 로그인 API (JWT 발급) — 역할: Admin·Host·User 구분",,2026-04-02,2026-04-02,User API,0,진행 전,"Day 5 · 접근권한 설정 X"
13,Sprint 0,인증 기능,로그인/가입 페이지 (FE),"로그인 · 회원가입(역할 선택) UI + API 연동 (JWT 저장)",,2026-04-02,2026-04-02,UI 화면,0,진행 전,"Day 5"
14,Sprint 0,인증 기능,인증 연동 검증,"회원가입→로그인→JWT 발급→인증 상태 유지 E2E 확인",,2026-04-03,2026-04-03,테스트 결과,0,진행 전,"Day 6"
15,Sprint 0,인프라,GitHub Actions 배포,"CI/CD 워크플로우 yml 작성 (빌드→배포)",,2026-04-03,2026-04-03,deploy.yml,0,진행 전,"Day 6"
16,Sprint 0,🟢 리뷰/회고,스프린트 리뷰 & 회고,"설계 산출물 + 인프라 + 인증 데모 + 회고",,2026-04-03,2026-04-03,리뷰/회고 기록,0,진행 전,"Day 6"
,,,,,,,,,,,"","휴무 4/4(토) 4/5(일)"
,,,,,,,,,,,
,,"Sprint 1: 이벤트 & 커뮤니티 & 마이페이지 MVP (4/6월 ~ 4/9목) — 근무 4일 — 🎯 MVP",,,,,,,,
17,Sprint 1,🔵 플래닝,스프린트 플래닝,"Sprint 1 목표: 이벤트+더미결제+커뮤니티+마이페이지+기업+Admin → MVP 완성",,2026-04-06,2026-04-06,플래닝 기록,0,진행 전,"Day 1"
18,Sprint 1,이벤트,Event API (Read),"[GET /events, /events/{id}] 메인 홈 이벤트 목록(검색) 및 상세 조회",,2026-04-06,2026-04-06,API (Read),0,진행 전,"Day 1"
19,Sprint 1,이벤트,Event UI (Read),"메인 홈 이벤트 목록 및 상세조회 화면 마크업",,2026-04-06,2026-04-07,UI (Read),0,진행 전,"Day 1~2"
20,Sprint 1,이벤트,이벤트 API 연동 (Read),"이벤트 목록 조회 및 상세 조회 API Fetch 연동",,2026-04-06,2026-04-07,연동 코드,0,진행 전,"Day 1~2"
21,Sprint 1,이벤트·결제,Orders API (Create),"[POST /orders] 즉시완료(재결제/무료등록) 더미결제 주문 생성 API",,2026-04-07,2026-04-07,API (Create),0,진행 전,"Day 2 · Mock 결제"
22,Sprint 1,이벤트·결제,Orders API (Read/Delete),"[GET /orders/{id}] 주문 상세(R) 및 [POST /cancel] 참가취소(D)",,2026-04-07,2026-04-07,API (R/D),0,진행 전,"Day 2"
23,Sprint 1,이벤트·결제,결제 모달 연동 (C/R/D),"상세페이지 예매(C) 버튼, 주문모달/완료(R), 취소(D) UI 연동",,2026-04-07,2026-04-07,UI 연동,0,진행 전,"Day 2"
24,Sprint 1,커뮤니티,Community API (Create),"[POST] 커뮤니티 개설, 게시글 작성, 댓글 작성 (C) - 3종",,2026-04-08,2026-04-08,API (Create),0,진행 전,"Day 3"
25,Sprint 1,커뮤니티,Community API (Read),"[GET] 커뮤니티, 게시글, 댓글 목록, 상세조회, 멤버조회 (R) - 6종",,2026-04-08,2026-04-08,API (Read),0,진행 전,"Day 3"
26,Sprint 1,커뮤니티,Community API (Update),"[PUT] 커뮤니티/게시글 수정, [POST/DELETE] 멤버 가입/탈퇴 상태갱신 (U)",,2026-04-08,2026-04-08,API (Update),0,진행 전,"Day 3"
27,Sprint 1,커뮤니티,Community API (Delete),"[DELETE] 커뮤니티 삭제, 게시글 삭제, 댓글 삭제 (D)",,2026-04-08,2026-04-08,API (Delete),0,진행 전,"Day 3"
28,Sprint 1,커뮤니티,폼·에디터 UI (C/U),"커뮤니티 개설, 게시물/댓글 작성 및 수정 폼 UI 및 연동",,2026-04-08,2026-04-08,UI 연동(C/U),0,진행 전,"Day 3"
29,Sprint 1,커뮤니티,조회·삭제 UI (R/D),"커뮤니티 목록, 게시글 뷰어, 리스트 출력(R) 및 삭제/탈퇴버튼(D) 연동",,2026-04-08,2026-04-08,UI 연동(R/D),0,진행 전,"Day 3"
30,Sprint 1,마이페이지,MyPage API (Read),"[GET] 프로필조회, 예약, 내이벤트, 커뮤니티 내역 조회 4종 (R)",,2026-04-08,2026-04-08,API (Read),0,진행 전,"Day 3"
31,Sprint 1,마이페이지,MyPage API (Update),"[PUT] 내 프로필 수정 (U)",,2026-04-08,2026-04-08,API (Update),0,진행 전,"Day 3"
32,Sprint 1,마이페이지,마이페이지 UI (R/U),"조회 대시보드(R) 및 프로필 수정 모달/폼(U) 마크업 & 연동",,2026-04-08,2026-04-08,UI 연동(R/U),0,진행 전,"Day 3"
33,Sprint 1,기업 페이지,Host API (Create),"[POST /host/events] 주최 이벤트 간소화 폼 생성 API (C)",,2026-04-09,2026-04-09,API (Create),0,진행 전,"Day 4"
34,Sprint 1,기업 페이지,Host API (Read),"[GET] 요약 대시보드, 기업프로필 조회, 주최이벤트 목록 (R)",,2026-04-09,2026-04-09,API (Read),0,진행 전,"Day 4"
35,Sprint 1,기업 페이지,Host API (Update),"[PUT/PATCH] 프로필 수정, 이벤트수정, 이벤트 상태변경(출판) (U)",,2026-04-09,2026-04-09,API (Update),0,진행 전,"Day 4"
36,Sprint 1,기업 페이지,Host API (Delete),"[DELETE /host/events/{id}] 주최 이벤트 삭제 API (D)",,2026-04-09,2026-04-09,API (Delete),0,진행 전,"Day 4"
37,Sprint 1,기업 페이지,Host UI (C/U),"주최 이벤트 폼(C) 및 기업/이벤트 프로필 수정 폼(U) UI 완성 및 연동",,2026-04-09,2026-04-09,UI 연동(C/U),0,진행 전,"Day 4"
38,Sprint 1,기업 페이지,Host UI (R/D),"기업 대시보드 요약뷰/리스트뷰 출력(R) 및 이벤트 삭제버튼(D) 연동",,2026-04-09,2026-04-09,UI 연동(R/D),0,진행 전,"Day 4"
39,Sprint 1,Admin,Admin API (Read),"[GET /admin/users] 전체 회원 리스트 조회 API (R)",,2026-04-09,2026-04-09,API (Read),0,진행 전,"Day 4"
40,Sprint 1,Admin,Admin 관리 UI (Read),"어드민 전용 유저 테이블 및 데이터 출력(R)",,2026-04-09,2026-04-09,UI 화면(R),0,진행 전,"Day 4"
41,Sprint 1,MVP 통합,MVP E2E 검증 + 버그 픽스,"전체 시나리오 (가입→이벤트→결제→커뮤니티→기타) E2E 테스트",,2026-04-09,2026-04-09,테스트 결과,0,진행 전,"Day 4 · 🎯 MVP 완성"
42,Sprint 1,🟢 리뷰/회고,스프린트 리뷰 & 회고,"MVP 전체 데모 + 피드백 + 회고 · MVP 완성 판정",,2026-04-09,2026-04-09,리뷰/회고 기록,0,진행 전,"Day 4 · 🎯 MVP 마일스톤"
,,,,,,,,,,,"","휴무 4/11(토) 4/12(일)"
,,,,,,,,,,,
,,"Sprint 2: 확장 기능 & 고도화 (4/10금 ~ 4/17금) — 근무 6일",,,,,,,,
43,Sprint 2,🔵 플래닝,스프린트 플래닝,"Sprint 2 목표: 결제 고도화 + 에디터 고도화 + 확장 기능 + 배포 안정화",,2026-04-10,2026-04-10,플래닝 기록,0,진행 전,"Day 1 · 우선순위 기반 백로그 선정"
44,Sprint 2,에디터 고도화,Session API (Create),"[POST] 세션/프로그램 생성 API (이벤트에 세션 추가)",,2026-04-10,2026-04-10,API (Create),0,진행 전,"Day 1"
45,Sprint 2,에디터 고도화,Session API (Read),"[GET] 세션/프로그램 목록 및 상세 조회 API",,2026-04-10,2026-04-10,API (Read),0,진행 전,"Day 1"
46,Sprint 2,에디터 고도화,Session API (Update),"[PUT] 세션 수정 API",,2026-04-10,2026-04-10,API (Update),0,진행 전,"Day 1"
47,Sprint 2,에디터 고도화,Session API (Delete),"[DELETE] 세션 삭제 API",,2026-04-10,2026-04-10,API (Delete),0,진행 전,"Day 1"
48,Sprint 2,에디터 고도화,5Step 에디터 UI (C/U),"Step1~5 에디터 폼 (기본정보/일정/세션/티켓/확인) UI 마크업 및 연동",,2026-04-10,2026-04-10,UI 연동(C/U),0,진행 전,"Day 1 · 간소화→5Step 전환"
49,Sprint 2,에디터 고도화,5Step 에디터 UI (R),"세션 목록 조회 및 미리보기 화면 UI 마크업 및 연동",,2026-04-10,2026-04-10,UI 연동(R),0,진행 전,"Day 1"
50,Sprint 2,결제 1단계,포트원 PG 설정,"포트원 SDK 연동 및 PG사 등록 · 환경 설정 (BE)",,2026-04-13,2026-04-13,설정 파일,0,진행 전,"Day 2 · 더미→실 결제 전환"
51,Sprint 2,결제 1단계,결제 승인 API (Create),"결제 요청 → 포트원 결제 승인 처리 API",,2026-04-13,2026-04-13,API (Create),0,진행 전,"Day 2"
52,Sprint 2,결제 1단계,결제 검증 API (Read),"결제 완료 후 결제 내역 검증 및 조회 API",,2026-04-13,2026-04-13,API (Read),0,진행 전,"Day 2"
53,Sprint 2,결제 1단계,결제 환불 API (Update),"환불 요청 → 포트원 환불 처리 + 주문 상태 갱신 API",,2026-04-13,2026-04-13,API (Update),0,진행 전,"Day 2"
54,Sprint 2,결제 1단계,결제 UI (C/U),"포트원 결제 위젯 모달 + 환불 신청 버튼 UI 마크업 및 연동",,2026-04-13,2026-04-13,UI 연동(C/U),0,진행 전,"Day 2"
55,Sprint 2,결제 1단계,결제 UI (R),"결제 완료/내역 확인 화면 UI 마크업 및 연동",,2026-04-13,2026-04-13,UI 연동(R),0,진행 전,"Day 2"
56,Sprint 2,결제 2단계,수수료 Entity + 정책,"수수료율 정책 Entity 설계 및 기본 데이터 삽입 (BE)",,2026-04-14,2026-04-14,Entity,0,진행 전,"Day 3"
57,Sprint 2,결제 2단계,수수료 API (Read),"[GET] 이벤트별 수수료 계산, 예상 정산, Host 정산 내역 조회 API - 2종",,2026-04-14,2026-04-14,API (Read),0,진행 전,"Day 3"
58,Sprint 2,결제 2단계,정산 처리 API (Update),"[PATCH] 정산 상태 변경 (대기→완료) API",,2026-04-14,2026-04-14,API (Update),0,진행 전,"Day 3"
59,Sprint 2,결제 2단계,수수료 UI (R),"수수료 안내 + Host 정산 대시보드 (매출/수수료/정산액) UI 마크업 및 연동",,2026-04-14,2026-04-14,UI 연동(R),0,진행 전,"Day 3"
60,Sprint 2,대기열,대기열 API (Create),"[POST] 대기열 Entity 설계 + 대기 등록 API",,2026-04-15,2026-04-15,API (Create),0,진행 전,"Day 4"
61,Sprint 2,대기열,대기열 API (Read),"[GET] 대기 순번 조회 및 대기 목록 API",,2026-04-15,2026-04-15,API (Read),0,진행 전,"Day 4"
62,Sprint 2,대기열,대기열 알림 API (Update),"취소 감지 → 대기자 자동 승격 + 알림 처리 API",,2026-04-15,2026-04-15,API (Update),0,진행 전,"Day 4"
63,Sprint 2,대기열,대기열 UI (C/R),"매진 시 대기 등록 버튼(C) + 대기 순번/타이머 표시(R) UI 마크업 및 연동",,2026-04-15,2026-04-15,UI 연동(C/R),0,진행 전,"Day 4"
64,Sprint 2,뱃지,Badge API (Create),"[POST] 뱃지 Entity 설계 + 이벤트 완료 시 뱃지 자동 발급 API",,2026-04-15,2026-04-15,API (Create),0,진행 전,"Day 4"
65,Sprint 2,뱃지,Badge API (Read),"[GET] 내 뱃지 목록 조회 + 뱃지 검색 API",,2026-04-15,2026-04-15,API (Read),0,진행 전,"Day 4"
66,Sprint 2,뱃지,뱃지 UI (R),"내 뱃지 컬렉션 갤러리 + 검색 UI 마크업 및 연동",,2026-04-15,2026-04-15,UI 연동(R),0,진행 전,"Day 4"
67,Sprint 2,구독·찜,구독 API (Create),"[POST] 강사(Host) 구독 등록 API",,2026-04-16,2026-04-16,API (Create),0,진행 전,"Day 5"
68,Sprint 2,구독·찜,구독 API (Read),"[GET] 내 구독 강사 목록 조회 API",,2026-04-16,2026-04-16,API (Read),0,진행 전,"Day 5"
69,Sprint 2,구독·찜,구독 API (Delete),"[DELETE] 구독 취소(해제) API",,2026-04-16,2026-04-16,API (Delete),0,진행 전,"Day 5"
70,Sprint 2,구독·찜,찜 API (Create),"[POST] 이벤트 찜(북마크) 등록 API",,2026-04-16,2026-04-16,API (Create),0,진행 전,"Day 5"
71,Sprint 2,구독·찜,찜 API (Read),"[GET] 내 찜 이벤트 목록 조회 API",,2026-04-16,2026-04-16,API (Read),0,진행 전,"Day 5"
72,Sprint 2,구독·찜,찜 API (Delete),"[DELETE] 찜 해제 API",,2026-04-16,2026-04-16,API (Delete),0,진행 전,"Day 5"
73,Sprint 2,구독·찜,구독·찜 UI (C/D),"구독/찜 토글 버튼(C/D) UI 마크업 및 연동",,2026-04-16,2026-04-16,UI 연동(C/D),0,진행 전,"Day 5"
74,Sprint 2,구독·찜,구독·찜 UI (R),"마이페이지 내 구독 강사 / 찜 이벤트 목록(R) UI 마크업 및 연동",,2026-04-16,2026-04-16,UI 연동(R),0,진행 전,"Day 5"
75,Sprint 2,스터디 매칭,매칭 API (Create),"[POST] 스터디 그룹 Entity 설계 + 수강 완료 시 자동 매칭 생성 API",,2026-04-16,2026-04-16,API (Create),0,진행 전,"Day 5"
76,Sprint 2,스터디 매칭,매칭 API (Read),"[GET] 내 스터디 그룹 목록 및 매칭 상태 조회 API",,2026-04-16,2026-04-16,API (Read),0,진행 전,"Day 5"
77,Sprint 2,스터디 매칭,스터디 매칭 UI (R),"스터디 매칭 안내 카드 + 참여 확인 UI 마크업 및 연동",,2026-04-16,2026-04-16,UI 연동(R),0,진행 전,"Day 5"
78,Sprint 2,통합,확장 기능 E2E 검증,"5Step+실결제+수수료+대기열+뱃지+구독/찜+매칭 전체 시나리오 테스트",,2026-04-17,2026-04-17,테스트 결과,0,진행 전,"Day 6"
79,Sprint 2,통합,버그 픽스,"E2E 테스트에서 발견된 오류 수정",,2026-04-17,2026-04-17,버그 픽스,0,진행 전,"Day 6"
80,Sprint 2,통합,배포 파이프라인 검증,"GitHub Actions CI/CD 최종 빌드 및 배포 테스트",,2026-04-17,2026-04-17,배포 환경,0,진행 전,"Day 6"
81,Sprint 2,🟢 리뷰/회고,스프린트 리뷰 & 회고,"확장 기능 데모 + 전체 회고",,2026-04-17,2026-04-17,리뷰/회고 기록,0,진행 전,"Day 6"
,,,,,,,,,,,"","휴무 4/18(토) 4/19(일)"
,,,,,,,,,,,
,,"Sprint 3: 시연 준비 & 발표 (4/20월) — 근무 1일 — 🎯 D-Day",,,,,,,,
51,Sprint 3,시연 준비,1단계: 최종 배포·서버 반영,"prod 브랜치 최종 merge · GitHub Actions 배포 실행 · 서버 정상 구동 확인 · HTTPS·도메인 점검",,2026-04-20,2026-04-20,배포 완료 서버,0,진행 전,"오전 첫 타임"
52,Sprint 3,시연 준비,2단계: 데모 데이터 세팅·시나리오 검증,"DataInitializer 데모용 시드 데이터 삽입 · 시연 시나리오별 계정(Admin/Host/User) 준비 · 이미지·이벤트·주문 더미 데이터 확인 · 전체 시나리오 1회 드라이런",,2026-04-20,2026-04-20,데모 데이터 + 시나리오 체크리스트,0,진행 전,"배포 확인 직후"
53,Sprint 3,시연 준비,3단계: 발표 리허설·최종 점검,"발표 자료(PPT/슬라이드) 최종 검토 · 시연 흐름 리허설(타이머 측정) · 역할 분담 확인 · 백업 플랜(오프라인 영상) 준비 · 최종 체크리스트 완료",,2026-04-20,2026-04-20,발표 자료 + 리허설 완료,0,진행 전,"발표 직전"
54,Sprint 3,🎯 발표,프로젝트 발표,"최종 프로젝트 발표 및 시연",,2026-04-20,2026-04-20,발표 자료,0,진행 전,"🎯 D-Day"
