Task ID,Sprint,대분류,중분류,작업 내용,담당자,시작일,종료일,산출물,진척도(%),상태,비고
,,휴무일: 3/28(토) 3/29(일) 4/4(토) 4/5(일) 4/11(토) 4/12(일) 4/18(토) 4/19(일),,,,,,,,
,,,,,,,,,,,
,,"Sprint 0: 설계 & 인프라 & 인증 (3/27금 ~ 4/3금) — 근무 6일",,,,,,,,
1,Sprint 0,🔵 플래닝,스프린트 플래닝,"Sprint 0 목표: 설계 완료 + 인프라 구축 + 인증 기능 완성",,2026-03-27,2026-03-27,플래닝 기록,0,진행 전,"Day 1"
2,Sprint 0,설계,기획/요구사항,"MVP 요구사항 명세서 확정 (최소 기능 범위)",,2026-03-27,2026-03-27,명세서,0,진행 전,"Day 1"
3,Sprint 0,설계,화면설계,"MVP 화면 설계서 / UI 레퍼런스 확정",,2026-03-27,2026-03-27,화면설계서,0,진행 전,"Day 1"
,,,,,,,,,,,"","휴무 3/28(토) 3/29(일)"
4,Sprint 0,설계,ERD,"DB ERD 설계 및 검증 (MVP Entity만)",,2026-03-30,2026-03-30,ERD 문서,0,진행 전,"Day 2 · MVP 테이블만 우선"
5,Sprint 0,설계,API 설계,"MVP API 엔드포인트 스펙 정의 (경로에 /api 미포함)",,2026-03-30,2026-03-30,API 명세서,0,진행 전,"Day 2"
6,Sprint 0,인프라,백엔드 초기화,"Spring Boot 프로젝트 생성 (Java 21 / Gradle / H2 / JPA / Lombok / JWT)",,2026-03-31,2026-03-31,프로젝트 구조,0,진행 전,"Day 3"
7,Sprint 0,인프라,프론트 초기화,"Next.js 프로젝트 생성 (App Router / TypeScript / Vanilla CSS Module)",,2026-03-31,2026-03-31,프로젝트 구조,0,진행 전,"Day 3 · Zustand · Material Icons"
8,Sprint 0,인프라,CORS · 설정 파일,"CORS 설정 (localhost:3000 허용) + application.properties dev·prod 분리",,2026-03-31,2026-03-31,설정 파일,0,진행 전,"Day 3"
9,Sprint 0,공통,JPA Entity + 이니셜라이저,"MVP Entity 매핑 + DataInitializer 초기 데이터 삽입",,2026-04-01,2026-04-01,Entity + 초기 데이터,0,진행 전,"Day 4 · H2 콘솔 검증"
10,Sprint 0,공통,공통 레이아웃 (FE),"layout.tsx / Header / Footer / 글로벌 CSS 변수 + Zustand + API 프록시",,2026-04-01,2026-04-01,UI 베이스 + 설정,0,진행 전,"Day 4"
11,Sprint 0,공통,이미지 업로드 API (BE),"파일 업로드 API — 저장 경로: 외부 볼륨 dist/upload",,2026-04-02,2026-04-02,Upload API,0,진행 전,"Day 5 · 정적→frontend/public"
12,Sprint 0,인증 기능,User API (BE),"회원가입 / 로그인 API (JWT 발급) — 역할: Admin·Host·User 구분",,2026-04-02,2026-04-02,User API,0,진행 전,"Day 5 · 접근권한 설정 X"
13,Sprint 0,인증 기능,로그인/가입 페이지 (FE),"로그인 · 회원가입(역할 선택) UI + API 연동 (JWT 저장)",,2026-04-02,2026-04-02,UI 화면,0,진행 전,"Day 5"
14,Sprint 0,인증 기능,인증 연동 검증,"회원가입→로그인→JWT 발급→인증 상태 유지 E2E 확인",,2026-04-03,2026-04-03,테스트 결과,0,진행 전,"Day 6"
15,Sprint 0,인프라,GitHub Actions 배포,"CI/CD 워크플로우 yml 작성 (빌드→배포)",,2026-04-03,2026-04-03,deploy.yml,0,진행 전,"Day 6"
16,Sprint 0,🟢 리뷰/회고,스프린트 리뷰 & 회고,"설계 산출물 + 인프라 + 인증 데모 + 회고",,2026-04-03,2026-04-03,리뷰/회고 기록,0,진행 전,"Day 6"
,,,,,,,,,,,"","휴무 4/4(토) 4/5(일)"
,,,,,,,,,,,
,,"Sprint 1: 이벤트 & 커뮤니티 & 마이페이지 MVP (4/6월 ~ 4/9목) — 근무 4일 — 🎯 MVP",,,,,,,,
,,,,,,,,,,,
,,📌 Day 1 (4/6) — 이벤트 공개 조회 + 메인 홈,,,,,,,,
17,Sprint 1,🔵 플래닝,스프린트 플래닝,"Sprint 1 목표: 이벤트+더미결제+커뮤니티+마이페이지+기업+Admin → MVP 완성",,2026-04-06,2026-04-06,플래닝 기록,0,진행 전,"Day 1"
18,Sprint 1,이벤트 (BE),Event API (R),"[GET /events] 이벤트 목록 조회 API (검색/필터/페이징)",,2026-04-06,2026-04-06,API,0,진행 전,"Day 1"
19,Sprint 1,이벤트 (BE),Event API (R),"[GET /events/{id}] 이벤트 상세 조회 API",,2026-04-06,2026-04-06,API,0,진행 전,"Day 1"
20,Sprint 1,이벤트 (FE),메인 홈 UI,"메인 홈 이벤트 카드 리스트 화면 마크업 & CSS",,2026-04-06,2026-04-06,UI 화면,0,진행 전,"Day 1"
21,Sprint 1,이벤트 (FE),메인 홈 검색 UI,"이벤트 검색바 및 카테고리 필터 UI 마크업 & CSS",,2026-04-06,2026-04-06,UI 화면,0,진행 전,"Day 1"
22,Sprint 1,이벤트 (FE),메인 홈 API 연동,"[GET /events] 이벤트 목록 Fetch 연동 및 카드 데이터 바인딩",,2026-04-06,2026-04-06,연동 코드,0,진행 전,"Day 1"
,,,,,,,,,,,
,,📌 Day 2 (4/7) — 이벤트 상세 + 더미 결제,,,,,,,,
23,Sprint 1,이벤트 (FE),이벤트 상세 UI,"이벤트 상세 페이지 레이아웃 마크업 & CSS",,2026-04-07,2026-04-07,UI 화면,0,진행 전,"Day 2"
24,Sprint 1,이벤트 (FE),이벤트 상세 API 연동,"[GET /events/{id}] 상세 조회 Fetch 연동 및 데이터 바인딩",,2026-04-07,2026-04-07,연동 코드,0,진행 전,"Day 2"
25,Sprint 1,결제 (BE),Orders API (C),"[POST /orders] 참가 신청 API — 유료: 즉시 PAID / 무료: 즉시 REGISTERED",,2026-04-07,2026-04-07,API,0,진행 전,"Day 2 · 더미결제"
26,Sprint 1,결제 (BE),Orders API (R),"[GET /orders/{id}] 주문 상세 조회 API",,2026-04-07,2026-04-07,API,0,진행 전,"Day 2"
27,Sprint 1,결제 (BE),Orders API (D),"[POST /orders/{id}/cancel] 참가 취소 API — 상태 CANCELLED 처리",,2026-04-07,2026-04-07,API,0,진행 전,"Day 2"
28,Sprint 1,결제 (FE),예매 버튼 UI,"이벤트 상세 내 예매/참가 신청 버튼 UI",,2026-04-07,2026-04-07,UI 화면,0,진행 전,"Day 2"
29,Sprint 1,결제 (FE),예매 API 연동,"[POST /orders] 예매 버튼 클릭 시 주문 생성 Fetch 연동",,2026-04-07,2026-04-07,연동 코드,0,진행 전,"Day 2"
30,Sprint 1,결제 (FE),구매 완료 UI,"결제(더미) 완료 페이지 마크업 & CSS",,2026-04-07,2026-04-07,UI 화면,0,진행 전,"Day 2"
31,Sprint 1,결제 (FE),주문 상세 API 연동,"[GET /orders/{id}] 구매 완료 데이터 Fetch 연동",,2026-04-07,2026-04-07,연동 코드,0,진행 전,"Day 2"
32,Sprint 1,결제 (FE),참가 취소 UI & 연동,"참가 취소 버튼 UI + [POST /orders/{id}/cancel] Fetch 연동",,2026-04-07,2026-04-07,UI & 연동,0,진행 전,"Day 2"
,,,,,,,,,,,
,,📌 Day 3 (4/8) — 커뮤니티 + 마이페이지,,,,,,,,
33,Sprint 1,커뮤니티 (BE),Community API (C),"[POST /communities] 커뮤니티 생성 API",,2026-04-08,2026-04-08,API,0,진행 전,"Day 3"
34,Sprint 1,커뮤니티 (BE),Community API (R),"[GET /communities] 커뮤니티 목록 조회 API",,2026-04-08,2026-04-08,API,0,진행 전,"Day 3"
35,Sprint 1,커뮤니티 (BE),Community API (R),"[GET /communities/{id}] 커뮤니티 상세 조회 API",,2026-04-08,2026-04-08,API,0,진행 전,"Day 3"
36,Sprint 1,커뮤니티 (BE),Community API (U),"[PUT /communities/{id}] 커뮤니티 수정 API (작성자 본인)",,2026-04-08,2026-04-08,API,0,진행 전,"Day 3"
37,Sprint 1,커뮤니티 (BE),Community API (D),"[DELETE /communities/{id}] 커뮤니티 삭제 API (작성자 본인)",,2026-04-08,2026-04-08,API,0,진행 전,"Day 3"
38,Sprint 1,커뮤니티 (BE),Community API (가입),"[POST /communities/{id}/join] 커뮤니티 가입 API",,2026-04-08,2026-04-08,API,0,진행 전,"Day 3"
39,Sprint 1,커뮤니티 (BE),Community API (탈퇴),"[DELETE /communities/{id}/leave] 커뮤니티 탈퇴 API",,2026-04-08,2026-04-08,API,0,진행 전,"Day 3"
40,Sprint 1,커뮤니티 (BE),Community API (R),"[GET /communities/{id}/members] 멤버 목록 조회 API",,2026-04-08,2026-04-08,API,0,진행 전,"Day 3"
41,Sprint 1,게시글 (BE),Post API (C),"[POST /communities/{communityId}/posts] 게시글 작성 API",,2026-04-08,2026-04-08,API,0,진행 전,"Day 3"
42,Sprint 1,게시글 (BE),Post API (R),"[GET /communities/{communityId}/posts] 게시글 목록 조회 API",,2026-04-08,2026-04-08,API,0,진행 전,"Day 3"
43,Sprint 1,게시글 (BE),Post API (R),"[GET /posts/{id}] 게시글 상세 조회 API",,2026-04-08,2026-04-08,API,0,진행 전,"Day 3"
44,Sprint 1,게시글 (BE),Post API (U),"[PUT /posts/{id}] 게시글 수정 API (작성자 본인)",,2026-04-08,2026-04-08,API,0,진행 전,"Day 3"
45,Sprint 1,게시글 (BE),Post API (D),"[DELETE /posts/{id}] 게시글 삭제 API (작성자 본인)",,2026-04-08,2026-04-08,API,0,진행 전,"Day 3"
46,Sprint 1,댓글 (BE),Comment API (C),"[POST /posts/{postId}/comments] 댓글 작성 API (대댓글 parentId 지원)",,2026-04-08,2026-04-08,API,0,진행 전,"Day 3"
47,Sprint 1,댓글 (BE),Comment API (R),"[GET /posts/{postId}/comments] 댓글 목록 조회 API",,2026-04-08,2026-04-08,API,0,진행 전,"Day 3"
48,Sprint 1,댓글 (BE),Comment API (D),"[DELETE /comments/{id}] 댓글 삭제 API (작성자 본인)",,2026-04-08,2026-04-08,API,0,진행 전,"Day 3"
49,Sprint 1,커뮤니티 (FE),커뮤니티 목록 UI,"커뮤니티 카드/리스트 목록 화면 마크업 & CSS",,2026-04-08,2026-04-08,UI 화면,0,진행 전,"Day 3"
50,Sprint 1,커뮤니티 (FE),커뮤니티 목록 API 연동,"[GET /communities] 목록 Fetch 연동",,2026-04-08,2026-04-08,연동 코드,0,진행 전,"Day 3"
51,Sprint 1,커뮤니티 (FE),커뮤니티 상세 UI,"커뮤니티 상세 (소개/멤버) 화면 마크업 & CSS",,2026-04-08,2026-04-08,UI 화면,0,진행 전,"Day 3"
52,Sprint 1,커뮤니티 (FE),커뮤니티 상세 API 연동,"[GET /communities/{id}] 상세 Fetch 연동",,2026-04-08,2026-04-08,연동 코드,0,진행 전,"Day 3"
53,Sprint 1,커뮤니티 (FE),커뮤니티 개설 폼 UI,"커뮤니티 생성 입력 폼 마크업 & CSS",,2026-04-08,2026-04-08,UI 화면,0,진행 전,"Day 3"
54,Sprint 1,커뮤니티 (FE),커뮤니티 개설 API 연동,"[POST /communities] 생성 Fetch 연동",,2026-04-08,2026-04-08,연동 코드,0,진행 전,"Day 3"
55,Sprint 1,커뮤니티 (FE),커뮤니티 수정 폼 UI & 연동,"커뮤니티 수정 폼 + [PUT /communities/{id}] Fetch 연동",,2026-04-08,2026-04-08,UI & 연동,0,진행 전,"Day 3"
56,Sprint 1,커뮤니티 (FE),커뮤니티 삭제 버튼 연동,"삭제 확인 모달 + [DELETE /communities/{id}] Fetch 연동",,2026-04-08,2026-04-08,연동 코드,0,진행 전,"Day 3"
57,Sprint 1,커뮤니티 (FE),가입/탈퇴 버튼 연동,"가입/탈퇴 버튼 + [POST join] [DELETE leave] Fetch 연동",,2026-04-08,2026-04-08,연동 코드,0,진행 전,"Day 3"
58,Sprint 1,커뮤니티 (FE),멤버 목록 UI & 연동,"멤버 리스트 UI + [GET members] Fetch 연동",,2026-04-08,2026-04-08,UI & 연동,0,진행 전,"Day 3"
59,Sprint 1,게시글 (FE),게시글 목록 UI,"게시글 리스트 화면 마크업 & CSS",,2026-04-08,2026-04-08,UI 화면,0,진행 전,"Day 3"
60,Sprint 1,게시글 (FE),게시글 목록 API 연동,"[GET /communities/{communityId}/posts] 목록 Fetch 연동",,2026-04-08,2026-04-08,연동 코드,0,진행 전,"Day 3"
61,Sprint 1,게시글 (FE),게시글 상세 UI,"게시글 본문 뷰어 화면 마크업 & CSS",,2026-04-08,2026-04-08,UI 화면,0,진행 전,"Day 3"
62,Sprint 1,게시글 (FE),게시글 상세 API 연동,"[GET /posts/{id}] 상세 Fetch 연동",,2026-04-08,2026-04-08,연동 코드,0,진행 전,"Day 3"
63,Sprint 1,게시글 (FE),게시글 작성 폼 UI,"게시글 작성 입력 폼 (타입 선택 포함) 마크업 & CSS",,2026-04-08,2026-04-08,UI 화면,0,진행 전,"Day 3"
64,Sprint 1,게시글 (FE),게시글 작성 API 연동,"[POST /communities/{communityId}/posts] 작성 Fetch 연동",,2026-04-08,2026-04-08,연동 코드,0,진행 전,"Day 3"
65,Sprint 1,게시글 (FE),게시글 수정 폼 UI & 연동,"게시글 수정 폼 + [PUT /posts/{id}] Fetch 연동",,2026-04-08,2026-04-08,UI & 연동,0,진행 전,"Day 3"
66,Sprint 1,게시글 (FE),게시글 삭제 버튼 연동,"삭제 확인 + [DELETE /posts/{id}] Fetch 연동",,2026-04-08,2026-04-08,연동 코드,0,진행 전,"Day 3"
67,Sprint 1,댓글 (FE),댓글 목록 UI,"댓글/대댓글 트리 리스트 화면 마크업 & CSS",,2026-04-08,2026-04-08,UI 화면,0,진행 전,"Day 3"
68,Sprint 1,댓글 (FE),댓글 목록 API 연동,"[GET /posts/{postId}/comments] 댓글 목록 Fetch 연동",,2026-04-08,2026-04-08,연동 코드,0,진행 전,"Day 3"
69,Sprint 1,댓글 (FE),댓글 작성 폼 UI,"댓글/대댓글 입력 폼 마크업 & CSS",,2026-04-08,2026-04-08,UI 화면,0,진행 전,"Day 3"
70,Sprint 1,댓글 (FE),댓글 작성 API 연동,"[POST /posts/{postId}/comments] 댓글 작성 Fetch 연동",,2026-04-08,2026-04-08,연동 코드,0,진행 전,"Day 3"
71,Sprint 1,댓글 (FE),댓글 삭제 버튼 연동,"삭제 버튼 + [DELETE /comments/{id}] Fetch 연동",,2026-04-08,2026-04-08,연동 코드,0,진행 전,"Day 3"
72,Sprint 1,마이페이지 (BE),MyPage API (R),"[GET /mypage/profile] 내 프로필 조회 API",,2026-04-08,2026-04-08,API,0,진행 전,"Day 3"
73,Sprint 1,마이페이지 (BE),MyPage API (U),"[PUT /mypage/profile] 내 프로필 수정 API",,2026-04-08,2026-04-08,API,0,진행 전,"Day 3"
74,Sprint 1,마이페이지 (BE),MyPage API (R),"[GET /mypage/orders] 내 구매/예약 내역 조회 API",,2026-04-08,2026-04-08,API,0,진행 전,"Day 3"
75,Sprint 1,마이페이지 (BE),MyPage API (R),"[GET /mypage/communities] 내 커뮤니티 목록 조회 API",,2026-04-08,2026-04-08,API,0,진행 전,"Day 3"
76,Sprint 1,마이페이지 (BE),MyPage API (R),"[GET /mypage/events] 내 참여 이벤트 목록 조회 API",,2026-04-08,2026-04-08,API,0,진행 전,"Day 3"
77,Sprint 1,마이페이지 (FE),프로필 조회 UI,"내 프로필 정보 표시 화면 마크업 & CSS",,2026-04-08,2026-04-08,UI 화면,0,진행 전,"Day 3"
78,Sprint 1,마이페이지 (FE),프로필 조회 API 연동,"[GET /mypage/profile] 프로필 Fetch 연동",,2026-04-08,2026-04-08,연동 코드,0,진행 전,"Day 3"
79,Sprint 1,마이페이지 (FE),프로필 수정 폼 UI,"프로필 수정 입력 폼 마크업 & CSS",,2026-04-08,2026-04-08,UI 화면,0,진행 전,"Day 3"
80,Sprint 1,마이페이지 (FE),프로필 수정 API 연동,"[PUT /mypage/profile] 프로필 수정 Fetch 연동",,2026-04-08,2026-04-08,연동 코드,0,진행 전,"Day 3"
81,Sprint 1,마이페이지 (FE),구매 내역 UI,"내 구매/예약 목록 표시 화면 마크업 & CSS",,2026-04-08,2026-04-08,UI 화면,0,진행 전,"Day 3"
82,Sprint 1,마이페이지 (FE),구매 내역 API 연동,"[GET /mypage/orders] 구매 내역 Fetch 연동",,2026-04-08,2026-04-08,연동 코드,0,진행 전,"Day 3"
83,Sprint 1,마이페이지 (FE),내 커뮤니티 목록 UI & 연동,"내 커뮤니티 리스트 UI + [GET /mypage/communities] Fetch 연동",,2026-04-08,2026-04-08,UI & 연동,0,진행 전,"Day 3"
84,Sprint 1,마이페이지 (FE),내 참여 이벤트 UI & 연동,"내 참여 이벤트 리스트 UI + [GET /mypage/events] Fetch 연동",,2026-04-08,2026-04-08,UI & 연동,0,진행 전,"Day 3"
,,,,,,,,,,,
,,📌 Day 4 (4/9) — 기업(Host) + Admin + MVP 통합,,,,,,,,
85,Sprint 1,기업 Host (BE),Host API (R),"[GET /host] Host 대시보드 요약 정보 API",,2026-04-09,2026-04-09,API,0,진행 전,"Day 4"
86,Sprint 1,기업 Host (BE),Host API (R),"[GET /host/profile] Host 기업 프로필 조회 API",,2026-04-09,2026-04-09,API,0,진행 전,"Day 4"
87,Sprint 1,기업 Host (BE),Host API (U),"[PUT /host/profile] Host 기업 프로필 수정 API",,2026-04-09,2026-04-09,API,0,진행 전,"Day 4"
88,Sprint 1,기업 Host (BE),Host API (R),"[GET /host/events] 내가 주최한 이벤트 목록 조회 API",,2026-04-09,2026-04-09,API,0,진행 전,"Day 4"
89,Sprint 1,기업 Host (BE),Host API (C),"[POST /host/events] 이벤트 생성 API (간소화 폼)",,2026-04-09,2026-04-09,API,0,진행 전,"Day 4"
90,Sprint 1,기업 Host (BE),Host API (U),"[PUT /host/events/{id}] 이벤트 수정 API (본인)",,2026-04-09,2026-04-09,API,0,진행 전,"Day 4"
91,Sprint 1,기업 Host (BE),Host API (D),"[DELETE /host/events/{id}] 이벤트 삭제 API (본인)",,2026-04-09,2026-04-09,API,0,진행 전,"Day 4"
92,Sprint 1,기업 Host (BE),Host API (U),"[PATCH /host/events/{id}/status] 이벤트 상태 변경 API (DRAFT→PUBLISHED)",,2026-04-09,2026-04-09,API,0,진행 전,"Day 4"
93,Sprint 1,기업 Host (FE),Host 대시보드 UI,"Host 대시보드 요약 카드 화면 마크업 & CSS",,2026-04-09,2026-04-09,UI 화면,0,진행 전,"Day 4"
94,Sprint 1,기업 Host (FE),Host 대시보드 API 연동,"[GET /host] 대시보드 요약 Fetch 연동",,2026-04-09,2026-04-09,연동 코드,0,진행 전,"Day 4"
95,Sprint 1,기업 Host (FE),기업 프로필 조회 UI,"기업 프로필 표시 화면 마크업 & CSS",,2026-04-09,2026-04-09,UI 화면,0,진행 전,"Day 4"
96,Sprint 1,기업 Host (FE),기업 프로필 조회 API 연동,"[GET /host/profile] 프로필 Fetch 연동",,2026-04-09,2026-04-09,연동 코드,0,진행 전,"Day 4"
97,Sprint 1,기업 Host (FE),기업 프로필 수정 폼 UI,"기업 프로필 수정 입력 폼 마크업 & CSS",,2026-04-09,2026-04-09,UI 화면,0,진행 전,"Day 4"
98,Sprint 1,기업 Host (FE),기업 프로필 수정 API 연동,"[PUT /host/profile] 프로필 수정 Fetch 연동",,2026-04-09,2026-04-09,연동 코드,0,진행 전,"Day 4"
99,Sprint 1,기업 Host (FE),주최 이벤트 목록 UI,"주최 이벤트 리스트 화면 마크업 & CSS",,2026-04-09,2026-04-09,UI 화면,0,진행 전,"Day 4"
100,Sprint 1,기업 Host (FE),주최 이벤트 목록 API 연동,"[GET /host/events] 이벤트 목록 Fetch 연동",,2026-04-09,2026-04-09,연동 코드,0,진행 전,"Day 4"
101,Sprint 1,기업 Host (FE),이벤트 등록 폼 UI,"이벤트 간소화 등록 폼 마크업 & CSS",,2026-04-09,2026-04-09,UI 화면,0,진행 전,"Day 4"
102,Sprint 1,기업 Host (FE),이벤트 등록 API 연동,"[POST /host/events] 이벤트 생성 Fetch 연동",,2026-04-09,2026-04-09,연동 코드,0,진행 전,"Day 4"
103,Sprint 1,기업 Host (FE),이벤트 수정 폼 UI & 연동,"이벤트 수정 폼 + [PUT /host/events/{id}] Fetch 연동",,2026-04-09,2026-04-09,UI & 연동,0,진행 전,"Day 4"
104,Sprint 1,기업 Host (FE),이벤트 삭제 버튼 연동,"삭제 확인 + [DELETE /host/events/{id}] Fetch 연동",,2026-04-09,2026-04-09,연동 코드,0,진행 전,"Day 4"
105,Sprint 1,기업 Host (FE),이벤트 상태변경 버튼 연동,"출판 버튼 + [PATCH /host/events/{id}/status] Fetch 연동",,2026-04-09,2026-04-09,연동 코드,0,진행 전,"Day 4"
106,Sprint 1,Admin (BE),Admin API (R),"[GET /admin/users] 전체 회원 리스트 조회 API",,2026-04-09,2026-04-09,API,0,진행 전,"Day 4"
107,Sprint 1,Admin (FE),Admin 유저 테이블 UI,"관리자 전용 유저 테이블 화면 마크업 & CSS",,2026-04-09,2026-04-09,UI 화면,0,진행 전,"Day 4"
108,Sprint 1,Admin (FE),Admin 유저 API 연동,"[GET /admin/users] 유저 목록 Fetch 연동",,2026-04-09,2026-04-09,연동 코드,0,진행 전,"Day 4"
109,Sprint 1,MVP 통합,MVP E2E 검증 + 버그 픽스,"전체 시나리오 (가입→이벤트→결제→커뮤니티→기타) E2E 테스트",,2026-04-09,2026-04-09,테스트 결과,0,진행 전,"Day 4 · 🎯 MVP 완성"
110,Sprint 1,🟢 리뷰/회고,스프린트 리뷰 & 회고,"MVP 전체 데모 + 피드백 + 회고 · MVP 완성 판정",,2026-04-09,2026-04-09,리뷰/회고 기록,0,진행 전,"Day 4 · 🎯 MVP 마일스톤"
,,,,,,,,,,,"","휴무 4/11(토) 4/12(일)"
,,,,,,,,,,,
,,"Sprint 2: 확장 기능 & 고도화 (4/10금 ~ 4/17금) — 근무 6일",,,,,,,,
,,,,,,,,,,,
,,📌 Day 1 (4/10) — 5Step 이벤트 에디터 고도화,,,,,,,,
111,Sprint 2,🔵 플래닝,스프린트 플래닝,"Sprint 2 목표: 결제 고도화 + 에디터 고도화 + 확장 기능 + 배포 안정화",,2026-04-10,2026-04-10,플래닝 기록,0,진행 전,"Day 1 · 우선순위 기반 백로그 선정"
112,Sprint 2,세션 (BE),Session API (C),"[POST /host/events/{eventId}/sessions] 세션 생성 API",,2026-04-10,2026-04-10,API,0,진행 전,"Day 1"
113,Sprint 2,세션 (BE),Session API (R),"[GET /host/events/{eventId}/sessions] 세션 목록 조회 API",,2026-04-10,2026-04-10,API,0,진행 전,"Day 1"
114,Sprint 2,세션 (BE),Session API (U),"[PUT /host/sessions/{id}] 세션 수정 API (본인)",,2026-04-10,2026-04-10,API,0,진행 전,"Day 1"
115,Sprint 2,세션 (BE),Session API (D),"[DELETE /host/sessions/{id}] 세션 삭제 API (본인)",,2026-04-10,2026-04-10,API,0,진행 전,"Day 1"
116,Sprint 2,에디터 (FE),5Step Stepper 컴포넌트 UI,"5Step 에디터 Stepper 네비게이션 컴포넌트 마크업 & CSS",,2026-04-10,2026-04-10,UI 화면,0,진행 전,"Day 1 · 공통 Stepper"
