Summary,Issue Type,Epic Name,Priority,Start date,Due date,Labels,Description
"A-006: 토큰 갱신 (Refresh)",Task,인증/회원가입 관리,Highest,2026-04-02,2026-04-02,MVP Feature BE,Refresh Token으로 새 Access Token
"A-007: 로그아웃 (토큰 블랙리스트)",Task,인증/회원가입 관리,Highest,2026-04-02,2026-04-02,MVP Feature BE,Redis 블랙리스트
"A-008: Google OAuth2 소셜 로그인",Task,인증/회원가입 관리,High,2026-04-10,2026-04-10,Launch Feature Full,Google만
"A-009: Google OAuth2 소셜 회원가입",Task,인증/회원가입 관리,High,2026-04-10,2026-04-10,Launch Feature Full,Google 연동 가입
"A-010: 비밀번호 분실 → 임시 비밀번호 발송",Task,인증/회원가입 관리,High,2026-04-10,2026-04-10,Launch Feature Full,이메일로 임시 비밀번호 전송
"A-011: 호스트 전용 회원가입",Task,인증/회원가입 관리,Highest,2026-04-02,2026-04-02,MVP Feature Full,사업자등록번호 인증 기반
"A-012: 호스트 전용 로그인",Task,인증/회원가입 관리,Highest,2026-04-02,2026-04-02,MVP Feature Full,HOST 역할 로그인
"A-013: 호스트 이메일 검증",Task,인증/회원가입 관리,High,2026-04-10,2026-04-10,Launch Feature BE,호스트도 이메일 인증 코드
이벤트 관리,Epic,이벤트 관리,,,,,이벤트 조회/상세/생성/수정/게시
"E-001: 이벤트 목록 조회 (검색/필터/페이징)",Task,이벤트 관리,Highest,2026-04-06,2026-04-06,MVP Feature Full,"카테고리, 타입별 필터"
"E-002: 이벤트 목록 페이지네이션",Task,이벤트 관리,Highest,2026-04-06,2026-04-06,MVP Feature FE,페이지네이션
"E-003: 이벤트 지역별 필터링",Task,이벤트 관리,High,2026-04-13,2026-04-13,Launch Feature Full,"시/도, 구/군 필터"
"E-004: 이벤트 캘린더 날짜별 필터링",Task,이벤트 관리,High,2026-04-13,2026-04-13,Launch Feature Full,달력 UI 날짜 선택 필터
"E-005: 정렬 옵션 (최신/인기/가격/평점)",Task,이벤트 관리,Medium,,,Future Feature Full,정렬 쿼리 파라미터
"E-006: 이벤트 상세 조회",Task,이벤트 관리,Highest,2026-04-06,2026-04-06,MVP Feature Full,"제목, 설명, 일정, 가격 표시"
"E-007: 수강 신청 모달",Task,이벤트 관리,Highest,2026-04-06,2026-04-06,MVP Feature FE,인원 수 + 결제 방법 선택
"E-008: 이벤트 신고 모달",Task,이벤트 관리,High,,,Future Feature Full,강의 신고
"E-009: 세션 링크 표시/연결",Task,이벤트 관리,High,2026-04-13,2026-04-13,Launch Feature FE,Zoom 등 온라인 세션 링크
"E-010: 할인 가격 표시",Task,이벤트 관리,High,2026-04-13,2026-04-13,Launch Feature FE,"할인율, 할인 가격, 기간"
"E-011: 찜하기 버튼",Task,이벤트 관리,High,,,Future Feature Full,찜 목록 추가/해제
"E-012: 리뷰 목록 표시 + 평균 평점",Task,이벤트 관리,High,2026-04-13,2026-04-13,Launch Feature Full,리뷰 리스트 + 별점
"E-013: 관련 강의 추천",Task,이벤트 관리,Medium,,,Future Feature Full,같은 카테고리/호스트 강의
"E-014: 소셜 공유 버튼",Task,이벤트 관리,Medium,,,Future Feature FE,"URL 복사, SNS 공유"
"EC-001: Step 1 - 기본 정보 입력 (제목/설명)",Task,이벤트 관리,Highest,2026-04-07,2026-04-07,MVP Feature Full,"강의 제목, 설명 입력"
"EC-002: Step 1 - 대표 이미지 업로드",Task,이벤트 관리,Highest,2026-04-07,2026-04-07,MVP Feature Full,썸네일 이미지 업로드
"EC-003: Step 1 - Rich Editor (WYSIWYG)",Task,이벤트 관리,High,2026-04-13,2026-04-13,Launch Feature FE,상세 설명 에디터
"EC-004: Step 1 - 카테고리 선택",Task,이벤트 관리,High,2026-04-13,2026-04-13,Launch Feature Full,어드민 관리 카테고리 목록
"EC-005: Step 2 - 날짜/시간 설정",Task,이벤트 관리,Highest,2026-04-07,2026-04-07,MVP Feature Full,시작/종료 일시
"EC-006: Step 2 - 온라인/오프라인 선택 + 장소",Task,이벤트 관리,Highest,2026-04-07,2026-04-07,MVP Feature Full,토글 + 장소 입력
"EC-007: Step 2 - 지역 정보 입력",Task,이벤트 관리,High,2026-04-14,2026-04-14,Launch Feature Full,지역별 필터 연동
"EC-008: Step 2 - 온라인 세션 링크 입력",Task,이벤트 관리,High,2026-04-14,2026-04-14,Launch Feature Full,Zoom URL 입력
"EC-009: Step 3 - 세션 리스트 CRUD",Task,이벤트 관리,High,2026-04-14,2026-04-14,Launch Feature Full,복수 세션 등록/삭제/순서변경
"EC-010: Step 4 - 무료/유료 + 가격 설정",Task,이벤트 관리,Highest,2026-04-07,2026-04-07,MVP Feature Full,가격 설정
"EC-011: Step 4 - 최대 수강 인원 설정",Task,이벤트 관리,Highest,2026-04-07,2026-04-07,MVP Feature Full,정원 제한
"EC-012: Step 4 - 할인 설정",Task,이벤트 관리,High,2026-04-14,2026-04-14,Launch Feature Full,할인율/기간 설정
"EC-013: Step 4 - 패키지 강의 등록",Task,이벤트 관리,Medium,,,Future Feature Full,내 강의 목록에서 패키지 묶기
"EC-014: 미리보기 기능",Task,이벤트 관리,High,2026-04-14,2026-04-14,Launch Feature FE,카드 미리보기 화면
"EC-015: 임시 저장 (Draft)",Task,이벤트 관리,High,2026-04-14,2026-04-14,Launch Feature Full,Draft 상태 저장
"EC-016: 강의 게시 (Publish)",Task,이벤트 관리,Highest,2026-04-07,2026-04-07,MVP Feature Full,Published 상태 전환
"EC-017: 취소 확인 모달 + 변경 감지",Task,이벤트 관리,High,2026-04-14,2026-04-14,Launch Feature FE,dirty check + 뒤로가기 가드
"EC-018: 이벤트 수정 (프리필 + 수정 완료)",Task,이벤트 관리,Highest,2026-04-07,2026-04-07,MVP Feature Full,기존 데이터 로드 + 수정 저장
"EC-019: Published 상태 필드 변경 경고",Task,이벤트 관리,Medium,,,Future Feature FE,가격/일정 변경 시 경고
메인 홈,Epic,메인 홈,,,,,메인 홈 이벤트 목록/검색/인기
"MH-001: 메인 홈 이벤트 목록 / 검색",Task,메인 홈,Highest,2026-04-06,2026-04-06,MVP Feature Full,기본 목록 + 검색
"MH-002: 인기 이벤트 섹션",Task,메인 홈,Highest,2026-04-06,2026-04-06,MVP Feature Full,조회수/참여순 상위
"MH-003: 관심 카테고리 기반 이벤트 노출",Task,메인 홈,High,,,Future Feature Full,마이페이지 관심 카테고리 연동
"MH-004: 전체 통합 공지 배너",Task,메인 홈,High,,,Future Feature FE,상단 배너
"MH-005: 최근 본 이벤트",Task,메인 홈,Medium,,,Future Feature FE,로컬 저장
"MH-006: 추천 이벤트 (뱃지 기반)",Task,메인 홈,Low,,,Future Feature Full,뱃지 기반 추천
커뮤니티 관리,Epic,커뮤니티 관리,,,,,커뮤니티 목록/상세/CRUD/좋아요/북마크
"CM-001: 커뮤니티 목록 조회",Task,커뮤니티 관리,Highest,2026-04-08,2026-04-08,MVP Feature Full,이벤트 기반 목록
"CM-002: 오픈/닫힌 커뮤니티 필터",Task,커뮤니티 관리,High,2026-04-15,2026-04-15,Launch Feature Full,공개/비공개 필터
"CM-003: 커뮤니티 상세 (게시글 CRUD + 댓글)",Task,커뮤니티 관리,Highest,2026-04-08,2026-04-08,MVP Feature Full,게시글/댓글 기본 CRUD
"CM-004: 게시물 타입 필터",Task,커뮤니티 관리,Highest,2026-04-08,2026-04-08,MVP Feature FE,GENERAL/REVIEW/QUESTION/NOTICE
"CM-005: 게시물 좋아요",Task,커뮤니티 관리,High,2026-04-15,2026-04-15,Launch Feature Full,게시글 좋아요/공감
"CM-006: 댓글 좋아요",Task,커뮤니티 관리,High,2026-04-15,2026-04-15,Launch Feature Full,댓글 좋아요
"CM-007: 대댓글 기능",Task,커뮤니티 관리,High,2026-04-15,2026-04-15,Launch Feature Full,parent_id 기반
"CM-008: 공지사항 등록 (상단 고정)",Task,커뮤니티 관리,High,2026-04-15,2026-04-15,Launch Feature Full,관리자 공지 등록
"CM-009: 관리자 게시글 상단 고정 (pin)",Task,커뮤니티 관리,High,2026-04-15,2026-04-15,Launch Feature Full,마음에 드는 글 pin
"CM-010: 인기글 기능",Task,커뮤니티 관리,Medium,,,Future Feature Full,인기글 섹션
"CM-011: 인기글 기준 설정 (관리자)",Task,커뮤니티 관리,Medium,,,Future Feature Full,좋아요/댓글/조회 가중치
"CM-012: 건의 버튼 (호스트/어드민 요청)",Task,커뮤니티 관리,Medium,,,Future Feature Full,요청 전송
"CM-013: 뱃지 기반 읽기/쓰기 권한",Task,커뮤니티 관리,Medium,,,Future Feature Full,뱃지 보유로 권한 설정
"CM-014: 게시물 검색",Task,커뮤니티 관리,Medium,,,Future Feature Full,커뮤니티 내 검색
"CM-015: 멤버 목록 + 권한 표시",Task,커뮤니티 관리,Medium,,,Future Feature FE,관리자/부관리자/일반 구분
"CM-016: 커뮤니티 생성 페이지",Task,커뮤니티 관리,High,2026-04-15,2026-04-15,Launch Feature Full,생성 전용 페이지
"CM-017: 커뮤니티 수정 페이지",Task,커뮤니티 관리,High,2026-04-15,2026-04-15,Launch Feature Full,수정 전용 페이지
"CM-018: 오픈/닫힌 설정",Task,커뮤니티 관리,High,2026-04-15,2026-04-15,Launch Feature Full,공개/비공개 설정
"CM-019: 어드민 컨펌 후 개설",Task,커뮤니티 관리,Medium,,,Future Feature BE,어드민 승인 후 활성화
"CM-020: 커뮤니티 글 에디터 (Rich Editor)",Task,커뮤니티 관리,High,2026-04-15,2026-04-15,Launch Feature FE,WYSIWYG 에디터
"CM-021: 사용자 상태 리스트 (관리자 뷰)",Task,커뮤니티 관리,Medium,,,Future Feature Full,권한 등급 목록
"CM-022: 사용자 권한 변경",Task,커뮤니티 관리,Medium,,,Future Feature Full,멤버 권한 등급 변경
"CM-023: 게시물 저장(북마크) 버튼",Task,커뮤니티 관리,High,2026-04-15,2026-04-15,Launch Feature Full,개별 게시물 북마크
"CM-024: 인기 커뮤니티 섹션",Task,커뮤니티 관리,Medium,,,Future Feature Full,멤버 수 기반
"CM-025: 뱃지 기반 커뮤니티 매칭 추천",Task,커뮤니티 관리,Medium,,,Future Feature Full,보유 뱃지 기반 추천
결제/장바구니 관리,Epic,결제/장바구니 관리,,,,,더미결제 토스연동 환불 장바구니
"P-001: 수강 신청 (더미 결제)",Task,결제/장바구니 관리,Highest,2026-04-08,2026-04-08,MVP Feature BE,즉시 PAID 처리
"P-002: 토스 페이먼츠 연동 (테스트 모드)",Task,결제/장바구니 관리,Highest,2026-04-10,2026-04-10,Launch Feature Full,Toss SDK 결제 위젯
"P-003: 결제 검증 (Webhook)",Task,결제/장바구니 관리,Highest,2026-04-10,2026-04-10,Launch Feature BE,서버 사이드 결제 검증
"P-004: 결제 실패 처리 + 재시도",Task,결제/장바구니 관리,Highest,2026-04-08,2026-04-08,MVP Feature FE,실패 시 안내
"P-005: 결제 완료 페이지",Task,결제/장바구니 관리,Highest,2026-04-08,2026-04-08,MVP Feature FE,주문 완료 정보
"P-006: 결제 완료 페이지 고도화",Task,결제/장바구니 관리,High,2026-04-16,2026-04-16,Launch Feature FE,"영수증, 커뮤니티 바로가기"
"P-007: 참가 취소",Task,결제/장바구니 관리,Highest,2026-04-08,2026-04-08,MVP Feature Full,주문 취소
"P-008: 환불 요청",Task,결제/장바구니 관리,High,2026-04-16,2026-04-16,Launch Feature Full,환불 신청 생성
"P-009: 결제 수단 등록",Task,결제/장바구니 관리,Medium,,,Future Feature Full,카드/간편결제 사전 등록
"P-010: 수강 바구니 (장바구니)",Task,결제/장바구니 관리,High,2026-04-16,2026-04-16,Launch Feature Full,장바구니 담기
"P-011: 장바구니 수량 변경/삭제",Task,결제/장바구니 관리,High,2026-04-16,2026-04-16,Launch Feature FE,"인원 수 변경, 삭제"
"P-012: 장바구니 일괄 결제",Task,결제/장바구니 관리,High,2026-04-16,2026-04-16,Launch Feature Full,여러 강의 한 번에 결제
"P-013: 장바구니 비로그인 유지",Task,결제/장바구니 관리,Medium,,,Future Feature FE,로컬 저장
"P-014: 결제 확인 이메일 발송",Task,결제/장바구니 관리,Medium,,,Future Feature BE,결제 완료 이메일
마이페이지 관리,Epic,마이페이지 관리,,,,,프로필/결제내역/내강의/내커뮤니티/찜/설정
"MY-001: 마이페이지 메인 (프로필 요약)",Task,마이페이지 관리,Highest,2026-04-08,2026-04-08,MVP Feature FE,"닉네임, 프로필 이미지"
"MY-002: 프로필 사진 변경/삭제",Task,마이페이지 관리,Highest,2026-04-08,2026-04-08,MVP Feature Full,이미지 변경/삭제
"MY-003: 결제 내역 페이지",Task,마이페이지 관리,Highest,2026-04-17,2026-04-17,Launch Feature Full,주문 목록 페이징
"MY-004: 결제 내역 상세 보기",Task,마이페이지 관리,High,,,Future Feature FE,"금액, 수단, 환불 상태"
"MY-005: 환불 신청 버튼",Task,마이페이지 관리,High,,,Future Feature FE,결제 내역에서 환불 요청
"MY-006: 내 강의 관리 (수강중/완료 탭)",Task,마이페이지 관리,Highest,,,Future Feature Full,탭으로 필터 전환
"MY-007: 수강 중 탭 - 강의 입장 버튼",Task,마이페이지 관리,High,,,Future Feature FE,세션 바로 입장
"MY-008: 수강 완료 탭 - 뱃지 표시",Task,마이페이지 관리,Medium,,,Future Feature FE,완료 강의 뱃지 표시
"MY-009: 수강 완료 탭 - 리뷰 작성 유도",Task,마이페이지 관리,High,,,Future Feature FE,미작성 리뷰 유도 UI
"MY-010: 찜 목록 페이지",Task,마이페이지 관리,High,,,Future Feature Full,찜한 이벤트 리스트
"MY-011: 찜 해제 + 장바구니 담기",Task,마이페이지 관리,High,,,Future Feature FE,찜 해제/장바구니 이동
"MY-012: 내 커뮤니티 - 탭 1 참여 중",Task,마이페이지 관리,Highest,,,Future Feature Full,가입 커뮤니티 목록
"MY-013: 내 커뮤니티 - 탭 2 커뮤니티 북마크",Task,마이페이지 관리,High,,,Future Feature Full,북마크한 커뮤니티
"MY-014: 내 커뮤니티 - 탭 3 내가 쓴 게시물",Task,마이페이지 관리,High,,,Future Feature Full,전체 커뮤니티 통합
"MY-015: 내 커뮤니티 - 탭 4 게시물 북마크",Task,마이페이지 관리,High,,,Future Feature Full,저장한 게시물
"MY-016: 프로필 설정 - 닉네임/이미지 수정",Task,마이페이지 관리,Highest,2026-04-08,2026-04-08,MVP Feature Full,기본 프로필 수정
"MY-017: 프로필 설정 - 비밀번호 변경",Task,마이페이지 관리,Highest,2026-04-17,2026-04-17,Launch Feature Full,현재 PW 확인 후 변경
"MY-018: 프로필 설정 - 관심 카테고리 등록",Task,마이페이지 관리,High,,,Future Feature Full,관심 카테고리 복수 선택
"MY-019: 프로필 설정 - 뱃지 노출 여부",Task,마이페이지 관리,Medium,,,Future Feature Full,뱃지 공개/비공개 토글
"MY-020: 프로필 설정 - 계정 탈퇴",Task,마이페이지 관리,Medium,,,Future Feature Full,회원 탈퇴
"MY-021: 대시보드 요약 카드",Task,마이페이지 관리,Medium,,,Future Feature FE,수강중/완료/찜 한눈에
리뷰 시스템,Epic,리뷰 시스템,,,,,리뷰 작성/자격검증/중복방지/수정삭제
"R-001: 수강 후 리뷰 작성 (별점+텍스트)",Task,리뷰 시스템,High,2026-04-16,2026-04-16,Launch Feature Full,수강 완료 유저만
"R-002: 리뷰 작성 자격 검증",Task,리뷰 시스템,High,2026-04-16,2026-04-16,Launch Feature BE,ORDER 완료 상태 확인
"R-003: 리뷰 중복 방지 (1인 1리뷰)",Task,리뷰 시스템,High,2026-04-16,2026-04-16,Launch Feature BE,중복 체크
"R-004: 리뷰 수정/삭제",Task,리뷰 시스템,High,2026-04-16,2026-04-16,Launch Feature Full,본인 리뷰 CRUD
"R-005: 어드민 리뷰 관리 (숨김/삭제/수정)",Task,리뷰 시스템,Medium,,,Future Feature Full,관리자 리뷰 CRUD
"R-006: 리뷰 좋아요",Task,리뷰 시스템,Medium,,,Future Feature Full,도움이 됐어요
"R-007: 리뷰 사진 첨부",Task,리뷰 시스템,Medium,,,Future Feature Full,이미지 업로드
알림 시스템,Epic,알림 시스템,,,,,알림 목록/읽음처리/헤더아이콘/설정
"N-001: 알림 테이블/API 설계",Task,알림 시스템,High,2026-04-17,2026-04-17,Launch Feature BE,알림 도메인 모듈
"N-002: 알림 목록 (쌓이는 방식)",Task,알림 시스템,High,2026-04-17,2026-04-17,Launch Feature Full,시간순 누적 표시
"N-003: 알림 - 내 게시물 댓글",Task,알림 시스템,High,,,Future Feature BE,새 댓글 알림 생성
"N-004: 알림 - 강의 관련 (일정 변경 등)",Task,알림 시스템,High,,,Future Feature BE,강의 관련 알림
"N-005: 알림 - 제재 내역",Task,알림 시스템,High,,,Future Feature BE,경고/정지 알림
"N-006: 알림 - 결제 관련",Task,알림 시스템,High,,,Future Feature BE,결제/환불 알림
"N-007: 알림 - 내 신고 처리 결과",Task,알림 시스템,High,,,Future Feature BE,신고 처리 결과 알림
"N-008: 알림 읽음/안읽음 처리",Task,알림 시스템,High,2026-04-17,2026-04-17,Launch Feature Full,읽음 처리
"N-009: 헤더 알림 아이콘 + 미확인 카운트",Task,알림 시스템,High,2026-04-17,2026-04-17,Launch Feature Full,벨 아이콘 + 배지
"N-010: 알림 설정 (카테고리별 On/Off)",Task,알림 시스템,Medium,,,Future Feature Full,수신 여부 설정
호스트 관리,Epic,호스트 관리,,,,,호스트센터/이벤트관리/수강생관리/결제환불
"H-001: 호스트 센터 랜딩",Task,호스트 관리,Highest,2026-04-09,2026-04-09,MVP Feature FE,서비스 소개 + 가입 유도
"H-002: 호스트 대시보드 (요약)",Task,호스트 관리,Highest,,,Future Feature Full,"총 이벤트, 매출, 최근 주문"
"H-003: 수강생 목록 조회",Task,호스트 관리,Highest,,,Future Feature Full,수강생 관리
"H-004: 내가 등록한 이벤트 목록",Task,호스트 관리,Highest,2026-04-09,2026-04-09,MVP Feature Full,상태별 필터
"H-005: 이벤트 상태 변경 (DRAFT→PUBLISHED)",Task,호스트 관리,Highest,2026-04-09,2026-04-09,MVP Feature Full,상태 PATCH
"H-006: 수강생 현황 표시",Task,호스트 관리,High,,,Future Feature FE,신청/최대 인원 표시
"H-007: 호스트 결제 내역 목록",Task,호스트 관리,High,,,Future Feature Full,전체 결제 내역
"H-008: 이벤트별 결제 필터",Task,호스트 관리,High,,,Future Feature FE,특정 이벤트 필터
"H-009: 호스트 지정 환불 처리",Task,호스트 관리,High,,,Future Feature Full,직접 환불 처리
"H-010: 환불 사유 입력 + 이력 조회",Task,호스트 관리,High,,,Future Feature Full,사유 기록/이력
"H-011: 호스트 요청 게시판",Task,호스트 관리,Medium,,,Future Feature Full,어드민/관리자 요청
"H-012: 요청 카테고리 선택",Task,호스트 관리,Medium,,,Future Feature FE,커뮤니티/리뷰/코멘트
"H-013: 요청 상태 추적",Task,호스트 관리,Medium,,,Future Feature Full,PENDING→APPROVED/REJECTED
"H-014: 호스트 기업 프로필 편집",Task,호스트 관리,Highest,,,Future Feature Full,"회사명, 로고, 연락처"
"H-015: 매출 차트/통계",Task,호스트 관리,Medium,,,Future Feature FE,일별/월별 시각화
어드민 관리,Epic,어드민 관리,,,,,대시보드/회원관리/카테고리/신고/환불/콘텐츠
"AD-001: 어드민 대시보드 요약",Task,어드민 관리,Highest,2026-04-09,2026-04-09,MVP Feature Full,총 회원/강의/신고/환불
"AD-002: 긴급 처리 항목",Task,어드민 관리,Highest,2026-04-09,2026-04-09,MVP Feature Full,환불 대기 + 긴급 신고
"AD-003: 전체 회원 리스트",Task,어드민 관리,Highest,2026-04-09,2026-04-09,MVP Feature Full,키워드/역할 필터
"AD-004: 주최자/수강생 분리 조회",Task,어드민 관리,Highest,2026-04-09,2026-04-09,MVP Feature FE,hosts/students 탭
"AD-005: 회원 상세 프로필",Task,어드민 관리,Highest,2026-04-09,2026-04-09,MVP Feature Full,프로필 + 활동 이력
"AD-006: 회원 삭제 (비활성화)",Task,어드민 관리,Highest,2026-04-09,2026-04-09,MVP Feature BE,is_active=false
"AD-007: 회원 경고",Task,어드민 관리,High,,,Future Feature Full,경고 발송
"AD-008: 회원 정지 (일시/영구)",Task,어드민 관리,High,,,Future Feature Full,정지 처리
"AD-009: 권한 수정 (USER↔HOST↔ADMIN)",Task,어드민 관리,High,,,Future Feature Full,역할 변경
"AD-010: 정지 이력 관리",Task,어드민 관리,High,,,Future Feature Full,사유/기간/이력
"AD-011: 카테고리 CRUD",Task,어드민 관리,High,,,Future Feature Full,카테고리 관리
"AD-012: 카테고리 사용 현황",Task,어드민 관리,High,,,Future Feature Full,카테고리별 이벤트 수
"AD-013: 관심 카테고리 관리",Task,어드민 관리,High,,,Future Feature Full,관심 카테고리 항목 관리
"AD-014: 관심 카테고리 통계",Task,어드민 관리,Medium,,,Future Feature Full,카테고리별 등록 유저 수
"AD-015: 신고 목록 (필터)",Task,어드민 관리,Highest,,,Future Feature Full,targetType/status 필터
"AD-016: 신고 상세/처리",Task,어드민 관리,Highest,,,Future Feature Full,DELETE/HIDE/WARN/DISMISS
"AD-017: 신고 처리 단계 관리",Task,어드민 관리,High,,,Future Feature Full,접수→검토→처리→완료
"AD-018: 제재 상태 관리",Task,어드민 관리,High,,,Future Feature Full,제재 내역/변경
"AD-019: 이의 제기 게시판",Task,어드민 관리,Medium,,,Future Feature Full,부당 신고 이의 접수
"AD-020: 신고 이력 추적",Task,어드민 관리,High,,,Future Feature BE,반복 신고 탐지
"AD-021: 커뮤니티 개설 요청 리스트",Task,어드민 관리,Medium,,,Future Feature Full,뱃지 기반 개설 요청
"AD-022: 요청 승인/거절",Task,어드민 관리,Medium,,,Future Feature Full,개설 컨펌
"AD-023: 어드민 요청 페이지",Task,어드민 관리,Medium,,,Future Feature Full,호스트 건의 목록
"AD-024: 요청 카테고리별 필터",Task,어드민 관리,Medium,,,Future Feature FE,카테고리 필터
"AD-025: 요청 처리 (승인/거절)",Task,어드민 관리,Medium,,,Future Feature Full,실행/거부
"AD-026: 리뷰 관리 (CRUD)",Task,어드민 관리,Medium,,,Future Feature Full,리뷰 숨김/삭제/수정
"AD-027: 환불 목록 (긴급 우선)",Task,어드민 관리,Highest,,,Future Feature Full,환불 모니터링
"AD-028: 환불 승인/거절",Task,어드민 관리,Highest,,,Future Feature Full,환불 처리
"AD-029: 커뮤니티 제재 관리",Task,어드민 관리,Medium,,,Future Feature Full,제재 사용자 관리
"AD-030: 실시간 통계 차트",Task,어드민 관리,Medium,,,Future Feature FE,가입자/매출 추이
"AD-031: 강의 관리 (숨김/삭제)",Task,어드민 관리,High,,,Future Feature Full,강의 is_hidden 토글/삭제
"AD-032: 콘텐츠 관리 (게시글/댓글 숨김)",Task,어드민 관리,High,,,Future Feature Full,게시글/댓글 is_hidden 토글
신고 관리,Epic,신고 관리,,,,,신고 생성/처리단계/제재관리/이력저장
"RP-001: 신고 생성 API (유저)",Task,신고 관리,Highest,,,Future Feature BE,"targetType, reason, detail"
"RP-002: 내 신고 내역 조회",Task,신고 관리,High,,,Future Feature BE,내 신고 목록
"RP-003: 신고 사유 상세 분류",Task,신고 관리,High,,,Future Feature BE,스팸/부적절/허위/저작권/기타
"RP-004: 신고 처리 단계 (4단계)",Task,신고 관리,High,,,Future Feature BE,접수→검토→조치→완료
"RP-005: 제재 상태 관리 스키마",Task,신고 관리,High,,,Future Feature BE,경고/일시정지/영구정지/해제
"RP-006: 신고 이력 저장",Task,신고 관리,High,,,Future Feature BE,반복 신고 추적
"RP-007: 제재 알림 발송",Task,신고 관리,High,,,Future Feature BE,제재 대상 알림
뱃지/프로필/공지 시스템,Epic,뱃지/프로필/공지 시스템,,,,,뱃지 발급/공개프로필/통합공지게시판
"B-001: 뱃지 자동 발급 (수강 완료 시)",Task,뱃지/프로필/공지 시스템,Medium,,,Future Feature BE,ORDER COMPLETED → 뱃지 생성
"B-002: 내 뱃지 목록 조회",Task,뱃지/프로필/공지 시스템,Medium,,,Future Feature Full,보유 뱃지 표시
"B-003: 뱃지 → 강의 상세 연결",Task,뱃지/프로필/공지 시스템,Medium,,,Future Feature FE,클릭 시 강의 상세
"B-004: 뱃지 노출 여부 설정",Task,뱃지/프로필/공지 시스템,Medium,,,Future Feature Full,공개/비공개 토글
"B-005: 뱃지 기반 커뮤니티 매칭",Task,뱃지/프로필/공지 시스템,Low,,,Future Feature Full,우선 커뮤니티 추천
"B-006: 뱃지 보유자 검색 (다중 필터)",Task,뱃지/프로필/공지 시스템,Medium,,,Future Feature Full,뱃지 복수 필터 검색
"B-007: 뱃지 보유자 초대",Task,뱃지/프로필/공지 시스템,Medium,,,Future Feature Full,커뮤니티 초대
"B-008: 프라이버시 보호 (비공개 제외)",Task,뱃지/프로필/공지 시스템,Medium,,,Future Feature BE,비공개 회원 제외
"B-009: 뱃지 기반 커뮤니티 개설",Task,뱃지/프로필/공지 시스템,Low,,,Future Feature Full,뱃지 선택 → 개설
"UP-001: 공개 프로필 기본 정보",Task,뱃지/프로필/공지 시스템,Medium,,,Future Feature Full,"이미지, 닉네임, 가입일"
"UP-002: 보유 뱃지 목록 표시",Task,뱃지/프로필/공지 시스템,Medium,,,Future Feature Full,공개 뱃지만 표시
"UP-003: 활동 내역 - 작성한 글",Task,뱃지/프로필/공지 시스템,Medium,,,Future Feature Full,공개 커뮤니티만
"UP-004: 활동 내역 - 작성한 댓글",Task,뱃지/프로필/공지 시스템,Medium,,,Future Feature Full,공개 커뮤니티만
"UP-005: 활동 내역 - 작성한 리뷰",Task,뱃지/프로필/공지 시스템,Medium,,,Future Feature Full,강의 리뷰
